primaryName,starPower
Aaron Dunsay,0.028033824920260055
Aaron Edson,0.07079113418692971
Aaron Ellis,0.2837649022106111
Aaron Evan Fink,7.957504760820125
Aaron Farrington,0.04490892427402611
Aaron Fisher,0.015725465569193547
Aaron Fisher-Cohen,0.11264998581195808
Aaron Fradkin,0.3636270672645588
Aaron Fronk,0.2978995827587955
Aaron Godfred,0.11948936360198195
Aaron Goodmiller,0.026209475368490377
Aaron Greer,0.2390595046936705
Aaron Gum,0.35863846446510445
Aaron Hann,14.422376181211686
Aaron Harvey,15.953655770890563
Aaron Hawkins,0.01678799702657149
Aaron Hendren,0.19851990872744607
Aaron Hilden,0.010930553050235691
Aaron Hose,0.014237921528864429
Aaron Huggett,0.11086103264199644
Aaron Hultgren,0.17715897504636485
Aaron J. March,0.023361520766883376
